1 - 2                        EXTRA CORSA
2 - 3                        CONTATTO PILASTRINO FOSSA (APERTO CON PILASTRINO ALZATO)
3 - 3A                       CONTATTO GREMBIULE RETRATTILE(APERTO CON GREMBIULE RIPIEGATO)
3A - 3B                      1° CONTATTO ISPEZIONE (CHIUSO IN NORMALE) + STOP MANUTENZIONE
3B - 3C                      1° CONTATTO PIANTONE TESTATA (CHIUSO IN POSIZIONE RIPOSO)
3D                           USCITA CONTATTI PULSANTI ISPEZIONE TAGLIO SERIE
3E - 4                       2° CONTATTO PIANTONE TESTATA (CHIUSO IN POSIZIONE ATTIVA)
3F                           2° CONTATTO ISPEZIONE (APERTO IN NORMALE) + INGRESSO PULSANTI ISPEZIONE
4 - 5                        INTER FOSSA
5 - 6                        ALT CABINA
6 - 7                        PARACADUTE
7 - 8                        PRELIMINARI
8 - 9                        PORTE CABINA (SIA CON PORTE A BATTENTE CHE AUTOMATICHE)
9 - 10                       BLOCCHI

1A - 1B                      CONTATTO APERTURA PORTA PIANO FOSSA
1B - 1C                      CONTATTO APERTURA PORTA PIANO TESTATA
GND                          3° CONTATTO ISPEZIONE (APERTO IN NORMALE) + 2° CONT PULSANTI ISPEZIONE
UP - DW                      2° CONTATTO PULSANTI ISPEZIONE
CPF - 82                     MORSETTI PER PONTICELLO ESCLUSIONE PRE-FINE CORSA
CB                           COMUNE PULSANTI CABINA
CE                           COMUNE PULSANTI PIANI
CB - 0, CB - 1...            CHIAMATE CABINA SU PERIFERICA (MORSETTI CABINA)
CE - 0, CE - 1...            CHIAMATE DI PIANO PRENOTAZIONE SALITA SU PERIFERICA (MORSETTI SALITA)
CE - 0, CE - 1...            CHIAMATE DI PIANO PRENOTAZIONE DISCESA SU PERIFERICA (MORSETTI DISCESA)
T1                           MORSETTO INGRESSO POSIZIONE ZERO PER A3 (DA PONTICELLARE CON CL o PE)
GND - KCB                    CHIAVE PRIORITARIA IN CABINA
GND - KPI                    CHIAVE PRIORITARIA AI PIANI
CPF - PFD                    INTERRUTTORE PRE-FINE CORSA DISCESA
CPF - PFS                    INTERRUTTORE PRE-FINE CORSA SALITA
FEM - FEM                    INTERRUTTORE FINE CORSA SALITA IN MANUTENZIONE CON TESTATA RIDOTTA
GND - FCD                    BISTABILE FINE CORSA DISCESA
GND - FCS                    BISTABILE FINE CORSA SALITA
GND - ID                     INDUTTORE CONTEGGIO DISCESA
GND - IS                     INDUTTORE CONTEGGIO SALITA
GND - IP1, GND - IP2         INDUTTORI CABINA AL PIANO E ZONA SICUREZZA
GND - IAX                    INDUTTORE FERMATA CON PIANI CORTI ESTREMI
GND - PA                     PULSANTE APERTURA PORTE
GND - SVR                    CONTATTO SOVRACCARICO
GND - CM1                    COSTOLA-FOTOCELLULA LATO 1
GND - CM2                    COSTOLA-FOTOCELLULA LATO 2
GND - PRR                    PULSANTE PARTENZA RAPIDA IN CABINA
GND - CCP                    CONTATTO CABINA COMPLETA
CL                           COMUNE LUMINOSE
CL - FS                      SEGNALAZIONE FRECCIA SALITA
CL - FD                      SEGNALAZIONE FRECCIA DISCESA
CL - FSX                     SEGNALAZIONE FRECCIA PROSSIMA PARTENZA SALITA
CL - FDX                     SEGNALAZIONE FRECCIA PROSSIMA PARTENZA DISCESA
CL - SV                      SEGNALAZIONE SOVRACCARICO
CL - GON                     SEGNALAZIONE GONG IN CABINA
CL - SF                      SPIA ACCESSO IN FOSSA CONSENTITO
PE                           RITORNO PRESENTE
